time_s,radius_nm_10mM,radius_nm_5mM
0.00012711839968690303,6.259699554825478,5.822434617207773
0.0001325087291997954,6.285901879454865,5.848616743461117
0.00013812763028320094,6.312100951734538,5.874809565886293
0.00014398479528760096,6.338294385776642,5.901007335215302
0.00015009032755797366,6.364477624429896,5.92720708834022
0.00015645475886160958,6.390655426602801,5.953405728337138
0.00016308906755493343,6.416835888597942,5.979598665233026
0.0001700046975206718,6.443018394753015,6.005791466584942
0.00017721357790803584,6.469199181792869,6.031990890261223
0.0001847281437099636,6.495375717822451,6.058196827239898
0.00019256135721291986,6.521545772620797,6.084405945349888
0.00020072673035625725,6.547705616602606,6.110615142063437
0.0002092383480396979,6.573856856047255,6.1368217375156435
0.000218110892419152,6.600006424955843,6.1630215694644015
0.000227359668232772,6.626156199230732,6.189216801750237
0.00023700062920093304,6.652303581504407,6.215413641601434
0.00024705040554568255,6.67844589684945,6.241614495680209
0.0002575263326771204,6.704581070621615,6.267817086594502
0.0002684464810961965,6.7307063563049185,6.294018461771949
0.00027982968756551157,6.7568197147755065,6.320215940732342
0.0002916955876018799,6.782927852961974,6.346406720891494
0.0003040646493467069,6.809034865956626,6.372588314109098
0.00031695820887261153,6.835138843581926,6.3987659303008115
0.00033039850698718615,6.861237205356911,6.424947283008602
0.00034440872759738234,6.887327611709642,6.451129022989639
0.00035901303770070685,6.913408430440611,6.477308574259948
0.0003742366290721985,6.939476767858837,6.503483295223602
0.00039010576171909933,6.965533843360299,6.529650399794407
0.0004066478091781862,6.9915876207027035,6.555807811461251
0.0004238913057338783,7.017639684487337,6.581956751606591
0.00044186599563859414,7.043685445968943,6.60810618722942
0.00046060288442024077,7.069722998465594,6.634254943199665
0.0004801342923653455,7.0957504901050195,6.660400888383663
0.0005004939102700954,7.121765030720613,6.686541309065484
0.0005217168575554355,7.1477671325359164,6.712673545795483
0.0005438397428464801,7.17376298208295,6.738795579080536
0.0005669007271207433,7.1997547668992645,6.764906263575341
0.0005909395895340977,7.2257402055575035,6.791013855911288
0.0006159977960380168,7.251716953820084,6.817119559343961
0.0006421185709064759,7.277683211637879,6.843221797207739
0.0006693469712958668,7.303637595386925,6.869318006977776
0.0006977299649665538,7.329577546480374,6.895405692840982
0.000727316511300147,7.355506219102246,6.921482706550222
0.0007581576457522118,7.381429745084618,6.947547329330293
0.0007903065678861348,7.40734800559616,6.973603902417491
0.0008238187331399617,7.4332572995746045,6.999657955498149
0.000858751948484518,7.459155898548618,7.025707672148179
0.0008951664721378301,7.485042320395025,7.051751001133562
0.000933125117507826,7.510913933332903,7.077785609948959
0.0009726933615426178,7.536770926261487,7.10380923568477
0.0010139394576752917,7.562620664785415,7.129820285901342
0.0010569345535579894,7.588465247336145,7.15581941792536
0.0011017528137883873,7.614300651102741,7.181813937216135
0.001148471547840289,7.640125257731047,7.2078033278304305
0.001197171343418968,7.665937558799491,7.233786098239044
0.0012479362054713115,7.6917357251348975,7.259759903482189
0.0013008537010905732,7.717517887111672,7.28572258505454
0.0013560151105656347,7.743289470733253,7.311672538292047
0.0014135155848353958,7.7690541206687485,7.337608315562076
0.0014734543096198373,7.794809847257715,7.363536463843091
0.0015359346765108986,7.820554668324921,7.389458802868493
0.0016010644613183177,7.846287020636478,7.415373587653789
0.0016689560099780265,7.872005697956725,7.441279612955184
0.0017397264323438025,7.897708333441366,7.467174634546384
0.0018134978041964953,7.92339739936281,7.493056698228585
0.0018903973778192234,7.949077072236877,7.5189244537840985
0.0019705578015018,7.974747577795948,7.544779553036633
0.002054117348353064,8.000407180376124,7.57062844242012
0.0021412201548157315,8.026054387337966,7.596469807713677
0.0022320164692952345,8.051687963985062,7.622301888044041
0.002326662911331458,8.077306050000566,7.648122576035877
0.0024253227417603556,8.102909047993997,7.673930503097542
0.0025281661443315004,8.128499390348846,7.69972384984823
0.0026353705192673983,8.154079633353922,7.725501477706788
0.0027471207892708145,8.179649198954644,7.751269577572857
0.002863609718508116,8.20520643408763,7.777031477551224
0.0029850382451187354,8.230750071440049,7.802783948603103
0.003111615827824363,8.256278632646584,7.828524979127422
0.0032435608072358115,8.281790841480944,7.854253070397253
0.003381100782480689,8.30728723534916,7.879967021016174
0.0035244730038015877,8.332773057981331,7.90566407676345
0.0036739247818020743,8.3582482075821,7.931347966444413
0.003829713914046285,8.383711376350558,7.95702413393854
0.003992109129748053,8.409160552518527,7.9826917990585695
0.004161390553316707,8.434594718088482,8.008347891767732
0.004337850187558993,8.460013205555487,8.033990953977645
0.004521792417370702,8.485414847196976,8.059619895616521
0.004713534534786916,8.510802111370392,8.085232815548805
0.004913407286296367,8.536177979874903,8.110829158277676
0.0051217554433642416,8.56154269718762,8.136414838147662
0.0053389383971473615,8.586893952639256,8.161992415200654
0.005565330778427652,8.612230242058187,8.187558666967833
0.005801323103833378,8.6375505245541,8.213111983949602
0.006047322449462655,8.662854171049798,8.238651030772541
0.006303753153071282,8.688141379579847,8.264174874686375
0.006571057546036271,8.713415525586628,8.28968154131821
0.006849696716357454,8.738677510463127,8.315173648146436
0.007140151304013403,8.763926717277064,8.340655743326916
0.007442922330043758,8.789161510986968,8.366127768300538
0.007758532060787844,8.814380339534178,8.391586991596458
0.008087524908770457,8.839582529464499,8.417031878040499
0.008430468371788968,8.864767638355806,8.442461430450054
0.00878795401182133,8.88993660692512,8.46787484793283
0.00916059847544371,8.915093359528296,8.493271975935663
0.009549044557518097,8.940236932418935,8.518655855356887
0.009953962309984243,8.96536650897872,8.544028478191976
0.010376050197669117,8.990480820622508,8.569389267927464
0.010816036303107117,9.015578583473635,8.594736147390918
0.011274679582449473,9.04065906643015,8.620067703287608
0.011752771174629452,9.065721594530842,8.645383106353274
0.012251135766041202,9.090770090820852,8.670681458724715
0.012770633013086447,9.1158053238897,8.695964233382071
0.013312159025043077,9.140826463944407,8.721234478013082
0.013876647909813099,9.165832996119018,8.746493027853733
0.014465073385216472,9.190823709718416,8.771738074639133
0.01507845045861051,9.215796982178524,8.796968040746924
0.015717837177731644,9.240751660072451,8.822181750716707
0.016384336455779847,9.26568961343844,8.847378801321298
0.017079097973894303,9.290614104227185,8.872558532442861
0.017803320164301157,9.315524684604178,8.897724077829368
0.018558252277555188,9.340420523187028,8.922876563010139
0.019345196537440483,9.365300921416832,8.948016116137492
0.020165510387247485,9.390164963964608,8.973141239297835
0.021020608831301583,9.415010703790479,8.998250580211772
0.021911966875781518,9.439837999954138,9.023342999874759
0.022841122073038254,9.464649274070451,9.048418059218333
0.023809677173803584,9.489446870235758,9.073475717974882
0.024819302891862578,9.514229829412624,9.098520369455139
0.02587174078595924,9.53899758556649,9.12355129260017
0.026968806263906926,9.563749342986108,9.148568003135255
0.02811239171408467,9.588483999169107,9.17356977886608
0.029304469769721442,9.613200092656957,9.198555532628832
0.030547096711599744,9.637898204956242,9.223523059880026
0.03184241601504656,9.662580536643526,9.248471873277902
0.0331926620473319,9.687248619642078,9.273405207349
0.03460016392185116,9.71190171296912,9.29832558838613
0.03606734951574032,9.736539142942393,9.323231737315169
0.03759674965785468,9.761160013642343,9.348122993774862
0.039191002494334104,9.785763164635409,9.37299839359153
0.04085285803928566,9.810348217388714,9.397856830544011
0.04258518291843415,9.834914892914812,9.422697430632121
0.044390965313921754,9.859466278487968,9.447519689256437
0.04627332011878693,9.884002684951087,9.472326654451305
0.04823549431001467,9.908523891885679,9.497119710159962
0.05028087254942485,9.933029093046265,9.52189825807828
0.052412983022060614,9.957517296021031,9.546661337922474
0.05463550352214876,9.981987520411765,9.571407598993394
0.05695226779712831,10.006439518489557,9.596136551539391
0.059367272160691265,10.03087329098218,9.620847637408579
0.06188468238624396,10.055291866206755,9.645540791651362
0.064508840892677,10.079695134697186,9.670218106266338
0.0672442742348425,10.104082922436938,9.694881357936014
0.07009570091165632,10.12845436028522,9.719529985622135
0.07306803950529507,10.152808502291872,9.744162595521994
0.07616641716552892,10.177144513780972,9.768777818101837
0.07939617845382292,10.201462213014262,9.793375250978453
0.08276289456246352,10.225761897732957,9.817954932708945
0.08627237292461451,10.250046282097427,9.842516554734239
0.08993066723187633,10.274315106602064,9.867063549189657
0.09374408787663001,10.298568232769208,9.891595226191777
0.09771921283717996,10.322804760367847,9.916111277681123
0.10186289902446886,10.347023779231817,9.940611345866946
0.10618229410993868,10.371224588223424,9.965094535095167
0.1106848488549412,10.395407041979807,9.989559057388034
0.1153783299629662,10.419571663595026,10.014003964343408
0.12027083347685144,10.443720798970851,10.038432076606927
0.12537079874409196,10.467854189024505,10.062846107130252
0.13068702297433477,10.491971718933941,10.087244828478275
0.13622867641416497,10.516072488596942,10.111627666620285
0.14200531816536818,10.540155617047478,10.135993930368222
0.14802691267395102,10.564220509049395,10.160342550047856
0.15430384691835677,10.588267045417666,10.184672974938461
0.1608469483265355,10.61229585571141,10.20898492473555
0.1676675034527701,10.636308979467143,10.23327985774583
0.17477727744646843,10.660306222982687,10.257559476198432
0.18218853434651652,10.684287502375039,10.281823522461929
0.18991405823619356,10.708251934619499,10.306071650368118
0.19796717529513366,10.732198667163551,10.33030293484214
0.20636177678638565,10.75612717504013,10.354516375871802
0.21511234301821672,10.780037370685601,10.378711572826385
0.22423396832198497,10.803929853712583,10.402888237655802
0.23374238708918124,10.827806468439704,10.42704811769706
0.2436540009125466,10.851667103710005,10.451192407160562
0.25398590687807293,10.875511729131404,10.475320964765418
0.2647559270567075,10.89933948316161,10.499433417036704
0.27598263924661803,10.923149547717156,10.523528890733786
0.2876854090190597,10.946941427718956,10.54760641325597
0.2998844231231037,10.970715080055562,10.5716656852573
0.31260072430687036,10.994470953668523,10.595706437522827
0.325856247615323,11.018210800529696,10.619730462962897
0.3396738582272216,11.041934591228491,10.643738680382794
0.35407739089652696,11.065642379029454,10.66773105337085
0.3690916910662782,11.089333327184136,10.691707210801194
0.38474265772585137,11.11300665999759,10.715666316973032
0.4010572880855496,11.136661870174342,10.739607433193592
0.4180637241455762,11.160298969657656,10.763530325689135
0.4357913012397039,11.183918182644701,10.78743475111828
0.45427059863740427,11.207521218535131,10.811322385836768
0.4735334922917121,11.23110813198092,10.835194048616788
0.4936132098237927,11.254679087969784,10.859049789686436
0.5145443878390924,11.278233292914752,10.882889274966297
0.5363631316739246,11.301770015451948,10.906711697493144
0.5591070776755305,11.325288696527064,10.930516149116725
0.582815458123084,11.348789401688013,10.954302428337444
0.6075291689016077,11.372272124979656,10.97807032433156
0.6332908400455127,11.395738502869325,11.001821278499971
0.6601449092734883,11.419188692089124,11.025556137624958
0.688137698641567,11.442622985018524,11.049275021472056
0.7173174944465627,11.466040677586928,11.072977674452195
0.747734630517758,11.48944107375198,11.096663307990324
0.779441575040495,11.512823532397576,11.120331042761238
0.8124930210614064,11.536188150174457,11.143980673581762
0.8469459808314577,11.55953476039985,11.167612045298018
0.882859884149515,11.582864811749625,11.191226250176838
0.9202966808760429,11.6061786018546,11.214824268572288
0.959320947793827,11.629476544004683,11.23840626882751
1.0,11.652758100758728,11.26197212311605
